source,target,weight
247,1704,34.69001589287576
247,1985,38.364467047297296
247,2601,18.718839097760196
248,774,31.480152435083145
248,1070,6.283940490663295
248,1219,30.71808645678536
248,2139,50.613355705501846
249,1226,22.634192392851197
249,1376,50.78214486520328
249,2112,56.6075282380633
250,990,69.0382469875001
250,1961,29.151772285905587
250,2394,49.15122555780131
250,2624,44.63596848937239
251,1455,15.306577127698157
251,2096,20.33639372568967
251,2242,13.04290955751306
252,254,44.50500023566362
252,1339,43.35346353344457
252,1352,32.64853892705674
253,945,45.106943798474234
253,1339,53.36224124558228
253,2369,49.04250960860598
254,1339,1.9702326383012885
254,1352,21.988943338079793
254,2263,42.93064350805813
255,1977,19.97650159031758
255,1982,7.097158669953524
255,2479,5.259837535850908
255,2636,49.05615593871842
256,1472,84.285680853055
256,1977,81.77810075087162
256,2714,54.26001184769438
257,1016,1.4981256972786938
257,1133,53.617804915326
257,1554,61.37680050329815
257,1599,34.95666859520367
257,1888,23.36408763764235
258,1313,76.11997636162883
258,1988,52.37443385004249
258,1989,30.55054112610139
259,393,14.776997680971949
259,1717,32.33803186238525
259,1847,13.98981371478463
260,844,40.06298800319799
260,1086,23.42973573632116
260,1285,21.746787431578994
260,1292,28.500524371474434
261,2052,43.01874672483523
261,2450,7.658449993022748
261,2587,22.495420080031177
261,2626,28.183011432314462
262,1104,57.59176076474473
262,1691,34.915802971065986
262,2626,65.15162170718258
263,265,47.26469366432268
263,1810,46.08857966432154
263,2359,48.67914746805227
264,734,31.918637546706147
264,1246,39.45356506512095
264,1308,19.188119554167386
264,1684,35.74889012218306
265,734,25.731125794189886
265,1810,12.510428241672312
265,2359,11.442994806230775
265,2634,12.428990419949733
266,1020,41.28927663121813
266,2194,29.71266163962415
266,2617,45.54440473741125
266,2635,41.27978178762154
267,1295,70.5865903571376
267,1905,90.51826566969478
267,1912,35.43575261682524
267,2224,39.27031592361258
268,278,25.989595288258904
268,668,6.020721302090145
268,971,17.24690036347644
269,1597,43.22085621617588
269,2111,30.588560730201014
269,2323,32.38685291152849
269,2560,17.7022725066258
270,861,247.62221998979285
270,2202,35.62567246588789
270,2375,25.129758106151517
271,708,15.486506506925576
271,1003,65.84222829931667
271,1552,73.27570828985762
272,2209,18.26316487944483
272,2298,19.943965324343793
272,2332,21.83153583548709
272,2717,30.567999304748923
273,670,16.464443412633763
273,1332,21.21503776102903
273,2241,28.059700499955028
273,2363,42.08800720227725
274,1010,43.42227840322155
274,1137,25.899552548846195
274,2117,61.55774521622679
274,2151,21.349311365134756
274,2539,55.10633345655099
275,1667,53.95916538654724
275,1827,50.9112458581844
275,2171,28.313006679729327
276,1508,33.324506922423026
276,1514,14.299719376897018
276,1661,5.435882686558602
276,1831,47.30212665916296
276,2397,27.89035911502997
277,278,17.94180611729458
277,960,13.586458891659355
277,1976,16.597643935334816
277,2382,44.120581486232744
278,960,19.89607947011927
278,1296,36.7916160181515
278,1976,19.55313563381934
279,725,45.35083539586571
279,1479,42.73398660384411
279,1894,51.2059308592649
279,1918,61.33362352032205
280,936,146.20935480624908
280,2362,51.193703021003905
281,1024,117.9769245242887
281,1203,76.55956010456191
281,2463,86.28812622903132
282,1323,93.94015231037935
282,2076,95.69457003776157
282,2316,86.15915983709087
283,781,125.28950160099473
283,1322,32.0138802398155
283,2145,87.95780339932494
283,2463,106.22222016163903
284,1109,71.06628497826507
284,1320,54.02984796064907
284,1857,14.794063757147322
284,2014,17.70675046369692
285,1207,69.21107803976976
285,2348,73.72153749505834
285,2585,62.19051177001156
286,2168,56.502546324366634
286,2192,22.2811414689682
287,1024,50.133725364843805
287,1203,109.95876366593826
287,2331,94.73728140754007
288,666,63.10161632435527
288,932,59.62037488628903
288,1080,60.1478391361328
288,1798,42.51827003918635
288,2594,67.99888113792687
288,2703,81.2620110154356
289,352,30.428056931461143
289,932,31.1972266114285
289,1080,3.6604930766835175
289,2556,20.505092483522972
290,291,106.04965173519594
290,350,93.4928387769394
290,2703,38.84624686946619
291,1282,57.66572204712437
291,1800,60.76996929006311
291,2254,141.03240373249469
292,888,51.03185862107432
292,2566,47.74728489514959
293,835,76.62535023823573
293,854,54.743030499268855
293,1032,39.75791314012338
293,2033,80.15425763406114
293,2239,21.170735855852815
294,1504,118.40815935393924
294,1521,29.459839138047524
294,2295,128.96908945995253
295,1179,28.73578818776344
295,1306,28.51515039494083
295,1482,25.001189662426288
295,1681,39.20205379804364
295,2268,24.732143943411067
296,783,21.81170704976059
296,1097,108.31839723035682
296,1765,30.111434388228286
296,2005,0.9241878779885359
297,695,43.45704477799133
297,696,63.70149069010916
297,1672,6.940635006974171
298,365,76.21602556125157
298,367,111.02390355739344
298,442,88.49716897274213
299,1581,27.971931779118027
299,1739,54.34211249239559
299,2179,18.903368410916677
